Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
18/12,26,84,0,0,0,0,1,0
19/12,28,81,0,0,0,0,1,0
20/12,33,81,0,0,0,0,1,0
21/12,39,73,1,0,0,0,0,0
22/12,40,70,1,0,0,0,0,0
23/12,45,72,1,1,0,0,2,0
24/12,53,75,1,1,0,0,1,0
25/12,52,71,1,4,0,0,1,0
26/12,52,77,1,3,0,0,1,0
27/12,55,80,1,4,0,0,1,0
28/12,60,69,0,5,0,0,1,0
29/12,61,62,0,3,0,0,0,0
30/12,63,55,0,4,0,0,0,0
31/12,69,54,1,4,0,0,0,0
01/01,79,51,1,4,0,0,0,0
02/01,83,52,5,7,0,0,0,1
03/01,95,56,9,9,0,0,0,2
04/01,105,56,11,11,0,0,0,1
05/01,119,53,10,12,0,0,1,1
06/01,131,51,12,12,0,0,2,2
07/01,134,58,14,16,0,0,2,3
08/01,145,109,17,16,0,0,1,5
09/01,151,104,22,18,0,0,1,4
10/01,159,118,21,21,0,0,2,4
11/01,170,117,27,22,0,0,2,4
12/01,175,112,30,27,0,0,2,4
13/01,182,111,26,26,0,0,2,3
14/01,185,112,41,20,0,0,2,3
15/01,193,115,46,26,0,1,0,3
16/01,191,122,49,26,0,1,0,3
17/01,203,129,47,26,0,1,1,4
18/01,209,127,50,24,0,2,1,6
19/01,217,125,52,23,0,2,0,5
20/01,212,122,48,23,0,3,0,3
