"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"25/01/20","3","0","0","0","0","0","0","0"
"26/01/20","0","1","0","0","0","0","0","0"
"27/01/20","1","0","0","0","0","0","0","0"
"28/01/20","0","0","0","0","0","0","0","0"
"29/01/20","0","1","2","0","0","0","0","0"
"30/01/20","0","0","0","0","0","0","0","0"
"31/01/20","0","1","0","0","0","0","0","0"
"01/02/20","0","1","0","0","0","0","0","0"
"02/02/20","0","0","0","2","0","0","0","0"
"03/02/20","0","0","0","0","0","0","0","0"
"04/02/20","0","0","1","0","0","0","0","0"
"05/02/20","0","0","1","0","0","0","0","0"
"06/02/20","0","0","1","0","0","0","0","0"
"07/02/20","0","0","0","0","0","0","0","0"
"08/02/20","0","0","0","0","0","0","0","0"
"09/02/20","0","0","0","0","0","0","0","0"
"10/02/20","0","0","0","0","0","0","0","0"
"11/02/20","0","0","0","0","0","0","0","0"
"12/02/20","0","0","0","0","0","0","0","0"
"13/02/20","0","0","0","0","0","0","0","0"
"14/02/20","0","0","0","0","0","0","0","0"
"15/02/20","0","0","0","0","0","0","0","0"
"16/02/20","0","0","0","0","0","0","0","0"
"17/02/20","0","0","0","0","0","0","0","0"
"18/02/20","0","0","0","0","0","0","0","0"
"19/02/20","0","0","0","0","0","0","0","0"
"20/02/20","0","0","0","0","0","0","0","0"
"21/02/20","0","0","2","1","1","0","0","0"
"22/02/20","0","0","1","0","0","0","0","0"
"23/02/20","0","2","0","0","0","0","0","0"
"24/02/20","0","0","0","0","0","0","0","0"
"25/02/20","0","0","0","0","0","0","0","0"
"26/02/20","0","1","0","0","0","0","0","0"
"27/02/20","0","0","0","0","0","0","0","0"
"28/02/20","0","0","1","0","1","0","0","0"
"29/02/20","0","0","0","0","0","0","0","0"
"01/03/20","1","0","0","0","0","0","0","0"
"02/03/20","4","2","0","0","0","0","0","0"
"03/03/20","6","0","1","0","0","1","0","0"
"04/03/20","7","0","1","2","0","0","0","0"
"05/03/20","3","1","2","2","1","0","0","0"
"06/03/20","3","0","1","0","0","0","0","0"
"07/03/20","8","1","0","0","0","1","0","0"
"08/03/20","4","1","1","0","1","0","0","0"
"09/03/20","7","2","0","0","2","0","0","0"
"10/03/20","14","3","3","0","0","0","0","0"
"11/03/20","4","2","2","2","3","1","0","0"
"12/03/20","13","5","7","3","0","0","0","1"
"13/03/20","14","10","8","4","5","1","0","0"
"14/03/20","20","15","11","3","3","1","0","0"
"15/03/20","22","5","15","1","1","1","0","0"
"16/03/20","37","7","7","9","10","1","0","1"
"17/03/20","39","17","10","3","3","0","0","0"
"18/03/20","57","37","16","5","4","3","0","1"
"19/03/20","40","30","50","5","17","0","0","1"
"20/03/20","46","33","40","8","12","0","2","2"
"21/03/20","83","43","37","17","26","7","2","3"
"22/03/20","97","46","38","33","30","5","0","10"
"23/03/20","136","73","60","34","20","6","0","13"
"24/03/20","149","56","78","36","35","8","1","7"
"25/03/20","211","64","46","27","30","6","0","5"
"26/03/20","190","58","50","38","26","5","7","9"
"27/03/20","186","54","62","22","24","12","2","9"
"28/03/20","212","106","70","30","23","4","1","9"
"29/03/20","174","78","31","12","33","4","0","6"
"30/03/20","127","54","33","6","44","3","0","1"
"31/03/20","114","88","55","32","9","0","4","2"
"01/04/20","150","58","40","30","28","2","0","5"
"02/04/20","116","63","57","18","8","3","3","4"
"03/04/20","91","59","39","11","22","6","4","4"
"04/04/20","104","22","27","11","14","2","0","2"
"05/04/20","87","29","9","2","17","4","1","3"
"06/04/20","57","26","14","2","7","3","1","0"
"07/04/20","49","33","13","4","10","9","0","1"
"08/04/20","48","24","9","5","11","9","0","2"
"09/04/20","39","13","10","1","14","4","0","1"
"10/04/20","49","12","13","7","11","11","0","3"
"11/04/20","44","24","9","1","8","11","0","0"
"12/04/20","7","6","12","0","3","11","0","0"
"13/04/20","9","8","7","2","6","6","0","1"
"14/04/20","7","9","11","2","4","15","0","0"
"15/04/20","16","4","5","0","5","4","0","0"
"16/04/20","11","5","5","1","3","11","0","0"
"17/04/20","29","7","6","1","6","4","0","0"
"18/04/20","10","14","9","0","3","4","0","0"
"19/04/20","21","13","5","0","1","9","0","0"
"20/04/20","6","1","0","0","0","3","0","1"
"21/04/20","6","5","6","2","1","1","0","0"
"22/04/20","5","1","0","1","0","4","0","0"
"23/04/20","5","1","2","0","0","0","0","0"
"24/04/20","7","5","2","0","2","2","0","1"
"25/04/20","12","3","2","0","1","1","0","1"
"26/04/20","8","3","3","0","0","4","0","0"
"27/04/20","2","1","3","0","0","2","0","0"
"28/04/20","5","3","0","0","1","4","0","0"
"29/04/20","11","3","1","0","1","1","0","0"
"30/04/20","2","7","0","0","0","2","0","0"
"01/05/20","9","5","0","0","0","0","0","0"
"02/05/20","5","10","1","0","0","0","2","0"
"03/05/20","4","11","1","0","0","0","0","0"
"04/05/20","1","21","3","0","0","0","0","1"
"05/05/20","3","14","5","0","0","2","0","0"
"06/05/20","9","16","0","0","0","0","0","0"
"07/05/20","3","15","2","1","0","2","0","0"
"08/05/20","4","13","0","0","1","0","0","0"
"09/05/20","5","12","0","0","0","0","0","0"
"10/05/20","2","8","2","0","0","0","0","0"
"11/05/20","1","5","0","0","0","0","0","0"
"12/05/20","0","16","0","0","1","0","0","0"
"13/05/20","6","7","0","0","0","0","0","0"
"14/05/20","4","9","0","0","1","0","0","0"
"15/05/20","8","19","1","0","0","1","0","0"
"16/05/20","3","13","1","0","2","0","0","0"
"17/05/20","1","5","0","0","0","0","0","0"
"18/05/20","1","6","2","0","0","0","0","0"
"19/05/20","2","7","0","0","0","0","0","0"
"20/05/20","4","5","1","0","0","0","0","0"
"21/05/20","2","5","0","0","0","0","0","0"
"22/05/20","3","10","0","0","0","0","0","0"
"23/05/20","3","9","1","0","0","0","0","0"
"24/05/20","1","2","1","0","0","0","0","0"
"25/05/20","3","2","0","0","4","0","0","0"
"26/05/20","2","5","1","1","6","0","0","0"
"27/05/20","2","8","1","0","0","0","0","0"
"28/05/20","1","10","0","0","7","0","0","0"
"29/05/20","2","6","0","0","8","0","0","0"
"30/05/20","0","8","0","0","0","0","0","0"
"31/05/20","3","8","0","0","3","0","0","0"
"01/06/20","3","4","0","0","1","0","0","0"
"02/06/20","6","9","1","0","0","0","0","0"
"03/06/20","0","7","0","0","1","0","0","0"
"04/06/20","2","8","0","0","0","0","0","0"
"05/06/20","4","3","0","0","4","0","0","0"
"06/06/20","0","1","1","0","1","0","0","0"
"07/06/20","0","4","0","0","0","0","0","1"
"08/06/20","3","2","0","0","0","0","0","0"
"09/06/20","2","0","0","0","0","0","0","0"
"10/06/20","3","4","0","0","0","0","0","0"
"11/06/20","0","7","1","0","0","0","0","0"
"12/06/20","3","5","1","0","1","0","0","0"
"13/06/20","4","8","1","0","0","0","0","0"
"14/06/20","9","10","0","0","0","0","0","0"
"15/06/20","3","12","0","0","0","0","0","0"
"16/06/20","3","9","0","0","0","0","0","0"
"17/06/20","1","20","1","0","0","0","0","0"
"18/06/20","2","18","0","0","1","0","0","0"
"19/06/20","7","12","0","0","0","0","0","0"
"20/06/20","1","25","0","0","0","0","0","0"
"21/06/20","5","17","0","0","1","0","0","0"
"22/06/20","2","13","0","0","0","0","0","0"
"23/06/20","1","17","0","0","2","0","0","0"
"24/06/20","10","18","0","0","0","0","0","0"
"25/06/20","4","33","0","0","0","0","0","0"
"26/06/20","6","28","1","0","0","0","0","0"
"27/06/20","6","40","0","0","0","0","0","0"
"28/06/20","3","47","0","0","1","0","0","0"
